trial,q_first_click,q_click_drivers,q_detail_info,q_detail_top,q_buy_first,q_notbuy_first,q_consider_more,q_second_click,q_buy_second,q_notbuy_second,q_third_click,q_buy_third,q_notbuy_third,q_fallback,q_fallback_blocker,q_reject_A,q_reject_B,q_reject_C,q_reject_D,q_reject_E,q_reject_F,q_page_browse,q_page_buy,q_factor_most,q_factor_second,q_importance_title,q_importance_image,q_importance_bullets,q_importance_aplus,q_importance_attr,q_importance_price,q_importance_reviews,q_importance_trust,q_listing_redline,q_material_pref,q_transparency_pref,q_badge_effect,q_switch_trigger,q_price_acceptance,q_purchase_intent
0,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|qa|price_deal|zoom_images,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|few_reviews|want_compare,E,not_buy,few_reviews|transparency|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|look,price_suspicious|few_reviews,few_reviews|pack,few_reviews|transparency,few_reviews|size|transparency,page2,page1,reviews,price_value,4,5,4,2,4,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|no_bullets,eva,semi,yes_somewhat,better_rating,4,4
1,A,main_image|color_pattern|star_rating|review_count|material_word|magnets|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|qa,negative_reviews,not_buy,price_too_high|want_compare,yes_more,B,not_buy,price_suspicious|material|look,C,not_buy,price_suspicious|material|brand|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|material|look,price_suspicious|material|brand,few_reviews|material|pack,look|material|few_reviews,few_reviews|size|material,page2,page1,material,reviews,4,5,4,2,4,3,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,3,4
2,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look|right_size,reviews_photos|negative_reviews|bullets|size_specs|material_cert|zoom_images|price_deal,reviews_photos,add_cart,price_too_high|want_compare,yes_more,B,add_cart,material|want_compare,C,not_buy,brand|few_reviews|material,A,price,fallback_favorite|price_too_high,material|look,brand|few_reviews|material,few_reviews|material,look|few_reviews,few_reviews|size|look,page2,page1,reviews,price_value,4,5,4,2,4,4,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image,eva,semi,yes_somewhat,better_rating,3,4
3,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look|right_size,reviews_photos|negative_reviews|bullets|size_specs|material_cert|qa|zoom_images,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|material|want_compare,B,not_buy,price_suspicious|material|look|want_compare,A,price|timing|info_gap,fallback_favorite|price_too_high,price_suspicious|material|look,price_suspicious|material|brand,few_reviews|material|pack,look|brand|few_reviews,few_reviews|size|brand,page2,page1,reviews,material,4,5,4,2,4,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,4,3
4,C,star_rating|review_count|price|magnets|material_word|right_size,negative_reviews|reviews_photos|bullets|size_specs|material_cert|qa|zoom_images|price_deal,negative_reviews,not_buy,price_suspicious|material|want_compare,yes_more,E,not_buy,few_reviews|brand|want_compare,A,not_buy,price_too_high|transparency|want_compare,E,reviews_trust|brand,price_too_high|transparency|look,price_suspicious|look|material,price_suspicious|material|look,few_reviews|material|rating,fallback_favorite|few_reviews|brand,few_reviews|size|material,page2,page1,reviews,material,4,4,4,2,4,4,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,semi,unlikely,better_rating,4,4
5,A,main_image|color_pattern|star_rating|review_count|material_word|magnets|imagine_look,reviews_photos|negative_reviews|bullets|size_specs|material_cert|qa|zoom_images|price_deal,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|material|want_compare,E,not_buy,few_reviews|material|look|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|brand|look,price_suspicious|brand|material,few_reviews|brand|pack,few_reviews|look|material,few_reviews|size|transparency,page2,page1,reviews,material,4,5,4,2,4,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|no_bullets|mismatch_title,eva,semi,yes_somewhat,better_rating,3,4
6,A,main_image|color_pattern|star_rating|review_count|material_word|imagine_look,reviews_photos|negative_reviews|bullets|material_cert|zoom_images|qa,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|material|want_compare,B,not_buy,price_suspicious|material|brand|want_compare,C,price|reviews_trust|material,price_too_high,price_suspicious|brand|material,fallback_favorite|price_suspicious|material,few_reviews|material|pack,look|few_reviews|brand,few_reviews|size|look,page2,page1,price_value,reviews,4,5,4,2,4,5,5,4,low_rating|few_reviews|no_size|material_unclear|blur_image,eva,semi,yes_somewhat,better_rating,4,4
7,A,review_count|star_rating|material_word|magnets|title_keyword|main_image,negative_reviews|reviews_photos|material_cert|size_specs|bullets|qa|zoom_images,negative_reviews,not_buy,price_too_high|want_compare,yes_more,C,not_buy,price_suspicious|material|want_compare,B,not_buy,price_suspicious|material|want_compare,A,price|timing,fallback_favorite|price_too_high,price_suspicious|material|brand,price_suspicious|material|brand,few_reviews|material|pack|brand,look|few_reviews|brand|transparency,few_reviews|size|brand|material,page2,page1,reviews,material,4,4,4,2,4,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|no_bullets|mismatch_title,eva,semi,yes_somewhat,better_rating,3,4
8,B,main_image|color_pattern|price|star_rating|review_count|magnets|imagine_look,reviews_photos|negative_reviews|bullets|material_cert|zoom_images|size_specs,negative_reviews,not_buy,price_suspicious|material|want_compare,yes_more,C,not_buy,price_suspicious|material|few_reviews|want_compare,A,not_buy,price_too_high|want_compare,A,price|timing,price_too_high,price_suspicious|material,price_suspicious|material|few_reviews,few_reviews|material,look|few_reviews,few_reviews|size|material,page2,page1,price_value,reviews,4,5,4,2,4,5,5,4,low_rating|no_size|material_unclear|blur_image|mismatch_title,eva,semi,yes_somewhat,better_rating,3,4
9,E,main_image|material_word|imagine_look,negative_reviews|bullets|size_specs|material_cert|zoom_images|reviews_photos,negative_reviews,add_cart,few_reviews|brand|want_compare,yes_more,A,not_buy,price_too_high|look|transparency,C,not_buy,price_suspicious|material|brand,A,price|reviews_trust|material,fallback_favorite|price_too_high|transparency,price_suspicious|look|material|brand,price_suspicious|material|brand|few_reviews,few_reviews|brand|material|look,few_reviews|brand|rating,few_reviews|size|look|brand,page2,page1,reviews,material,4,4,4,2,5,4,5,5,low_rating|few_reviews|no_size|material_unclear|blur_image|mismatch_title,eva,blackout,unlikely,better_rating,3,4
