trial,persona_path,reward,choice,choice_label,price,price_threshold,feature_priority,purchase_likelihood,age_bracket,economic_motivation,region,socioeconomic_band,gender_identity,life_stage,urbanicity,income,employment,rationale
survey_toilet-brush-choice__26UiDmy,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_stackoverflow-ace1a5e191e4.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,55-64,,North America,,,,,,Full-time,"I want a compact, tidy setup for a small bathroom, and the OXO Hideaway's auto-opening canister keeps the brush out of sight while the ventilated tray prevents water pooling — a real hygiene win. OXO's design and build reputation justify the $19.97 price over the cheaper no-name silicone sets."
survey_toilet-brush-choice__28YVwcf,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_gss-e728426dc24b.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,75-84,,North America,Middle,Man,Retirement,,,Retired,"At my age I value a tidy, simple bathroom and a brush that stays out of sight when not in use. The OXO Hideaway's automatic-opening canister and ventilated tray keep things clean and dry, and the brand has a solid reputation for well-made, easy-to-use household tools."
survey_toilet-brush-choice__2CNMvpB,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_gss-7ef3ec69184d.yaml,1.0,jiga_3pack,JIGA 3-Pack,13.99,5,price,4,85+,,North America,Lower-middle,Woman,,,,,"At my age I want something simple and sturdy with a long handle, and three brushes for one low price is good value on a fixed income. I can keep one in each bathroom and have a spare, and the stiff nylon bristles clean well like the brushes I have always used."
survey_toilet-brush-choice__2D4EPP9,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-b0b92a0ad484.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,,,North America,,Man,Mid-life,,,Self-employed,"I value a clean, uncluttered bathroom and the OXO Hideaway's canister conceals the brush entirely while auto-opening on lift, which keeps things tidy and hygienic. It's from a brand I trust, the ventilated tray prevents water pooling, and at $19.97 it's a fair price for something I'll use daily for years."
survey_toilet-brush-choice__2FPsEwF,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_stackoverflow-9661004f3822.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,35-44,,North America,,,Mid-life,,,Full-time,"I want a brush that stays hidden and doesn't pool water in the holder, which is the main hygiene failure mode with these things. The OXO's auto-open canister with a ventilated tray addresses that directly, and it's from a brand with a track record I can verify rather than trust blindly. The $19.97 price is reasonable for something I'll use weekly for years."
survey_toilet-brush-choice__2KR6pod,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_gss-812cf2cc5acd.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,3,65-74,,North America,Lower-middle,Woman,,,,Homemaker,"I'm a widow on a fixed income, so I want something reliable that will last and stay tidy. The OXO hideaway canister keeps the brush out of sight and its ventilated tray keeps things from getting smelly and wet, and it's the top-rated pick at a price I can manage."
survey_toilet-brush-choice__2LiFM4f,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_gss-30d831b69249.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,55-64,,North America,Middle,Woman,,,,Full-time,"I want something that looks tidy and stays clean in a busy family bathroom with three kids. The OXO Hideaway's auto-opening canister hides the brush and its ventilated tray prevents water pooling, and OXO is a brand I trust for durable everyday tools. The $19.97 price is reasonable for that combination of hygiene and build quality."
survey_toilet-brush-choice__2VTnS5J,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-f9a8f0c0acd5.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,65+,Value-driven,North America,High income,Woman,Retirement,Dense urban,null,Full-time,"The OXO Hideaway is the most thoughtfully engineered option on the shelf: the canister conceals the brush entirely when stored, and it opens automatically on lifting, so I never have to touch a soiled housing. The ventilated tray addresses the actual hygiene problem with these products — standing water — and the compact footprint suits a small bathroom. At $19.97 it is reasonably priced for a top-rated set from a brand with a long track record in household tools."
survey_toilet-brush-choice__2YiDDRU,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_gss-ce7ff38e4e58.yaml,1.0,jiga_3pack,JIGA 3-Pack,13.99,5,price,5,25-34,,North America,Lower-middle,Woman,,,,Homemaker,"With two kids and only one income, I need to watch every dollar, and three brushes for $13.99 means I can have one for each bathroom and a spare without spending much. Stiff nylon bristles and a covered caddy are simple and get the job done, and white matches my bathroom."
survey_toilet-brush-choice__2hfduDG,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_gss-52c79ced43ea.yaml,1.0,jiga_3pack,JIGA 3-Pack,13.99,5,price,4,35-44,,North America,Lower-middle,Woman,,,,Part-time,"With three kids and a tight budget, getting three complete brush sets for $13.99 is the best value on this shelf. I can put one in each bathroom and still have a spare, and the stiff nylon bristles get the job done without spending extra."
