rank,brand,name,price_usd_ref,rating,review_count,material,description,image_description,source_url,source_type,note,image
1,Clorox,Clorox Corner Toilet Bowl Brush with Under Rim Scrubber (White),15.5,4.6,5913,,Corner storage caddy design; dedicated under-rim scrubber head for cleaning under the toilet rim; antibacterial bristles; rubber non-slip handle; approx. 16 x 5 x 5.5 inches.,A toilet brush set in white with a dark gray non-slip grip handle and matching dark gray base trim; the brush head has white bristles with one dark gray bristle section; a hanging hole at the top of the handle; an embossed brand mark on the grip; photographed on a pure white background.,https://www.amazon.com/Clorox-Corner-Toilet-Holder-Under/dp/B00R55CIRQ,amazon.com product detail page,,toilet_brush_assets/clorox.jpg
2,mDesign,mDesign Compact Freestanding Plastic Toilet Bowl Brush and Holder (Bronze),,4.5,19900,,"Compact freestanding plastic toilet brush with covered holder; non-slip foam base; space-saving design; available in Bronze, Gray, Cream and more.","A freestanding toilet brush set with a dark bronze matte metallic finish; long rod handle with a rounded grip and ring-shaped decorative details; the brush head is stored in a matching cylindrical base with double ring trim and a ring base; pure white background, no other elements.",https://www.amazon.sg/s?k=mDesign+compact+freestanding+plastic+toilet+brush+holder,amazon.sg search page,,toilet_brush_assets/mdesign.jpg
3,BOOMJOY,BOOMJOY Silicone Toilet Brush and Holder Set with Tweezers (Aluminum Handle),12.99,,,,Silicone brush head with built-in tweezers for removing tangled hair; lightweight aluminum handle; ventilated storage base.,A commercial display of a disposable toilet brush set on a white background: a long-handled brush with a white-gray rod and a blue sponge replaceable head; a white storage base with its lid open showing blue heads inside; stacks of blue-and-white hexagonal sponge refills on the right; a blue hanging tag reading '32 PCS'.,https://www.amazon.sg/s?k=BOOMJOY+silicone+toilet+brush+tweezers,amazon.sg search page,,toilet_brush_assets/boomjoy.jpg
4,Sellemer,"Sellemer Toilet Brush and Holder Set (Silicone, White)",,4.4,2700,,White silicone brush head; ventilated hollow base for quick drying; can be wall-mounted or freestanding; also available as a 2-pack (S$46.30) or in silver.,A silicone toilet brush set in a simple white-and-black scheme: a long white rod handle; a brush head densely covered with silicone nubs; a white base with a black bottom and brand print; pure white background.,https://www.amazon.sg/s?k=Sellemer+toilet+brush+holder+silicone,amazon.sg search page,,toilet_brush_assets/sellemer.jpg
5,OXO,OXO Good Grips Hideaway Compact Toilet Brush (Gray),,4.7,9400,,Hideaway canister that opens automatically when the handle is lifted; ventilated tray prevents water pooling; compact footprint for small bathrooms; firm bristles and non-slip handle.,A gray-white toilet brush set: a slim brush handle and a base housing the brush; minimal smooth design; brand logo printed on the front of the base; pure white background.,https://www.amazon.com/dp/B07S2SZM4X,amazon.com product detail page,,toilet_brush_assets/oxo.jpg
6,Ibergrif,"Ibergrif M34152 Silicone Toilet Brush & Quick-Dry Holder Set (replaces Holikme, out of stock on Amazon US)",,,,,Deep-cleaning silicone brush; non-slip long plastic handle; bendable brush head for cleaning the U-bend and corners of the toilet; ventilated holder.,Product display of the Holikme silicone toilet brush set: a white long handle with a black silicone head; a white storage base with a gray upper rim; a circular zoom inset on the left showing the brush head cleaning inside a toilet bowl with water splashes; pure white background.,https://www.amazon.com/Holikme-Bathroom-Deep-Cleaning-Silicone-Non-Slip/dp/B086DJMJYZ,amazon.sg search page,Replacement: Holikme rank-6 listing is Currently unavailable on Amazon US; same-category in-stock set substituted.,toilet_brush_assets/holikme.jpg
7,IXO,"IXO Toilet Brush and Holder, 2-Pack (304 Stainless Steel Long Handle, Blue)",,4.3,11600,,304 stainless steel long handles; ergonomic grip; durable and elegant; 2 brushes with holders; also available in Gold (S$43.49) and Black (S$50.00).,"Two identical toilet brush holders side by side on a pure white background: deep navy blue tapered bases with silver metallic ring collars at the top; slim shiny silver metal rods extending upward; minimal design, no text.",https://www.amazon.sg/s?k=IXO+toilet+brush+holder+stainless+steel+2+pack,amazon.sg search page,,toilet_brush_assets/ixo.jpg
8,nacena,"nacena Toilet Brush and Holder 2-Pack (Extra Long Handle, Black)",,4.5,4500,,Extra-long handle for effortless cleaning; covered storage; space-saving; durable deep-cleaning bristles; 2-pack (list price S$35.57).,Two black toilet brush sets placed side by side; each consists of a long-handled brush and a cylindrical storage base; matte black finish; symmetrical arrangement on a pure white background.,https://www.amazon.sg/s?k=nacena+toilet+brush+holder,amazon.sg search page,,toilet_brush_assets/nacena.jpg
9,Asobeage,Asobeage Silicone Toilet Brush with Quick-Drying Holder (White),,4.4,28400,,Flexible silicone head reaches into crevices; non-slip long handle; quick-drying ventilated base; also available as a basic white model (4.0 stars / 14.5K ratings / S$26.24) and a black stainless-steel-handle model (S$32.39).,The ASOBEAGE toilet brush set: a white handle with a black silicone brush head covered in raised round nubs; a matching white cylindrical holder with a black bottom; pure white background.,https://www.amazon.sg/s?k=Asobeage+toilet+brush,amazon.sg search page,,toilet_brush_assets/asobeage.jpg
10,JIGA,JIGA 3-Pack Toilet Brush and Holder Set (White),,4.6,823,,3-pack value set; stiff nylon bristles; caddy storage; non-slip long handles; per-unit cost much lower than single brushes.,Three white toilet brush sets lined up side by side; each consists of a long-handled brush and a matching white base; a red triangular tag hangs on the rightmost handle reading '3 PACK'; pure white background.,https://www.amazon.sg/s?k=JIGA+3+pack+toilet+brush+holder,amazon.sg search page,,toilet_brush_assets/jiga2.jpg
