trial,persona_path,reward,choice,choice_label,price,price_threshold,feature_priority,purchase_likelihood,age_bracket,economic_motivation,region,socioeconomic_band,gender_identity,life_stage,urbanicity,income,employment,rationale
survey_toilet-brush-choice__28BLYzB,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_stackoverflow-11b6b67f2b39.yaml,1.0,clorox_under_rim,Clorox Corner Under-Rim,15.5,3,price,3,35-44,,North America,,,,,,Part-time,"No persona-specific answer was produced, so a neutral answer was used."
survey_toilet-brush-choice__2DbsuR5,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-e6e44f670f36.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,65+,,North America,,Man,Retirement,,,Retired,"I want a clean, uncluttered look and a holder that keeps the brush out of sight — the OXO's hideaway canister does exactly that, and the ventilated tray stops water from pooling, which matters more to me than saving a few dollars. OXO is a brand I trust for well-built household tools, and at $19.97 the price is reasonable for something I'll use daily for years."
survey_toilet-brush-choice__2PgqFuU,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-f9b2829214f0.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,65+,,North America,Middle,Man,Mid-life,Small town,null,Self-employed,"I want a set that stays tidy and out of sight in a small bathroom, and the OXO hideaway canister opens automatically when lifted while its ventilated tray prevents water from pooling. The brand has a solid reputation for durable, well-designed household tools, and at $19.97 the price is reasonable for that reliability."
survey_toilet-brush-choice__2R4mxMj,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_gss-8f82fde4f568.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,35-44,,North America,Upper-middle,Woman,,,,Full-time,"With three kids and a busy household, I want something that hides the brush away and keeps the bathroom looking tidy. OXO is a brand I trust, the auto-open canister with a ventilated tray is hygienic, and at $19.97 it's a reasonable price for the quality."
survey_toilet-brush-choice__2RPsey8,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_gss-6932aa9bcdb9.yaml,1.0,jiga_3pack,JIGA 3-Pack,13.99,5,price,4,65-74,,North America,Lower-middle,Man,,,,Part-time,"I'm widowed and watch my spending, so getting three complete brush sets for $13.99 is the best value on the shelf. With three bathrooms and kids and grandkids visiting, having a spare on hand makes practical sense, and the stiff nylon bristles and non-slip handles are exactly what I need for everyday cleaning."
survey_toilet-brush-choice__2RraTV2,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_stackoverflow-e55d176c51d2.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,45-54,,North America,,,,,,Full-time,"The OXO Hideaway's auto-open canister keeps the brush completely out of sight and the ventilated tray prevents standing water, which matters most for a bathroom's daily hygiene and appearance. OXO is a brand I trust for well-engineered household tools, and at $19.97 the price is reasonable for a compact, thoughtfully designed set."
survey_toilet-brush-choice__2RtjMaH,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-85cda6a7b3e8.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,65+,,North America,Upper-middle,Man,Retirement,Small town,,Self-employed,"I want a tidy, well-designed set that keeps the brush out of sight and dries properly, and OXO has earned my trust over decades of sensible kitchen and bath tools. The hideaway canister that opens automatically and the ventilated tray are exactly the small engineering touches I appreciate, and at $19.97 the price is reasonable for the quality."
survey_toilet-brush-choice__2SN4ZVx,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_amazon-200ab9b4154a.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,,Value-driven,North America,,,,,,,"I want a brush that stays hidden and looks tidy — the OXO Hideaway canister opens automatically when you lift the brush and the ventilated tray keeps water from pooling, which matters for hygiene. OXO is a brand I trust for solid, well-designed kitchen and bath tools, and at $19.97 the price is reasonable for the build quality."
survey_toilet-brush-choice__2StuE5U,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_gss-c437b8691c7f.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,55-64,,North America,Lower-middle,Woman,,,,Full-time,"I want something neat and simple that hides the brush away so my small bathroom stays tidy, and the auto-open canister with a ventilated tray keeps things from getting gross. OXO is a brand I recognize and trust, and at $19.97 the price is reasonable for the quality."
survey_toilet-brush-choice__2VAKFdN,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_amazon-68a14a039642.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,,,North America,,,,,,,"With two young kids, I want something that hides the brush away and doesn't leave a puddle of gross water sitting in the base. The OXO auto-open canister and ventilated tray hit that hygiene need, and $19.97 is reasonable for a brand I already trust in my kitchen."
survey_toilet-brush-choice__2WnMoKe,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-aaa8b917d6e4.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,75-84,Indifferent,North America,Middle,Man,Mid-life,Small town,null,Self-employed,"I want a brush that stays out of sight and dries properly rather than sitting in a puddle of water, and the OXO Hideaway canister opens automatically when lifted and has a ventilated tray. OXO is a brand I trust for everyday household tools, and at $19.97 the price is reasonable for a single well-made set for my own bathroom."
survey_toilet-brush-choice__2baxuac,persona/datasets/matraix-persona-1m/cohorts/cohort-162f4cf6eb0f/persona_wiki-4e2a96efc816.yaml,1.0,oxo_hideaway,OXO Hideaway Compact,19.97,4,hygiene,4,65+,Value-driven,North America,Upper-middle,Man,Retirement,Small town,null,Self-employed,"I value order, structure, and a tidy, uncluttered bathroom, so the OXO's hideaway canister — which conceals the brush entirely and opens automatically when lifted — appeals to me most. The ventilated tray that prevents water pooling addresses hygiene, and OXO is a brand I trust for durable, well-designed household goods at a fair price."
