q_choice,q_choice_why,q_reject_A,q_reject_B,q_reject_C,q_reject_D,q_reject_E,q_reject_F,q_page_browse,q_page_buy,q_factor_most,q_factor_second,q_importance_title,q_importance_image,q_importance_bullets,q_importance_aplus,q_importance_attr,q_importance_price,q_importance_reviews,q_importance_trust,q_listing_redline,q_material_pref,q_transparency_pref,q_badge_effect,q_switch_trigger,q_price_acceptance,q_purchase_intent
B,"It's the cheapest option with a solid 4.4★ from nearly 1,900 reviews, so I trust it more than the other budget picks. I'm a bargain hunter and EVA with magnets at the hem plus a 3D texture that looks nice is plenty for a liner I'll replace anyway.",price_too_high,already_chosen,brand|few_reviews,few_reviews|brand,look|transparency|few_reviews,few_reviews,page2,page1,price_value,reviews,3,4,3,1,3,5,5,3,unavailable|no_price|low_rating|few_reviews|blur_image,eva,semi,yes_somewhat,lower_price,5,4
C,"I'm a frugal saver and an analytical buyer, so I want the best evidence-per-dollar. Option C is the cheapest liner at $7.09 yet has the highest rating on the shelf (4.6★) with a solid 974 reviews, plus the functional features I actually care about — EVA material, 3 heavy magnets, anti-rust grommets and a tear-proof header. The Art-Deco wave pattern is a nice bonus, but the real driver is strong review evidence at the lowest price.",price_too_high|availability|look,price_suspicious|few_reviews|brand|look,already_chosen,few_reviews|material|pack|brand,few_reviews|availability|look|material,availability|few_reviews|size,page3,page2,reviews,price_value,4,4,4,2,4,5,5,4,unavailable|no_price|low_rating|few_reviews|no_size|material_unclear|blur_image,eva,semi,unlikely,better_rating,5,4
A,"I've been burned by cheap thin liners that tear and get moldy within months, so I'd rather pay a bit more for the one with 4,156 reviews and a 4.5 star rating. The AmazerBath has a reinforced double-layered header, 12 rustproof brass grommets, and weighted stones at the bottom — that's the build quality I want. At my age I'd rather buy once and be done with it.",already_chosen,price_suspicious|brand|look,price_suspicious|brand|look,few_reviews|material|pack,look|few_reviews|rating,few_reviews,page2,page1,reviews,material,4,5,4,2,4,4,5,5,unavailable|no_price|low_rating|few_reviews|no_size|material_unclear|blur_image,eva,semi,yes_somewhat,better_function,5,4
A,"I want a liner that feels like a real upgrade, not the cheapest thing on the shelf. The AmazerBath has 4,000+ reviews at 4.5 stars, a soft-touch EVA that's BPA-free and odor-free, brass grommets, and a weighted hem — that combination of evidence and quality is worth $18.99 to me. The emerald green is a nice touch that will still let light through.",already_chosen,brand|price_suspicious,brand|price_suspicious,few_reviews|material|pack,few_reviews|brand,availability|few_reviews|size,page2,page1,reviews,material,4,5,4,2,4,3,5,5,unavailable|low_rating|no_size|material_unclear|blur_image,eva,semi,yes_somewhat,better_rating,5,4
B,"It hits my sweet spot: EVA material (odor-free, safer than PVC), a strong 4.4 rating with nearly 1,900 reviews, and 3 magnets to keep it against the tub. At $7.19 it's a great value, and the 3D blue cube texture looks nicer than a plain clear liner.",price_too_high,already_chosen,brand|few_reviews,few_reviews|material,look|availability,availability|few_reviews,page2,page1,price_value,reviews,4,4,4,2,4,5,5,4,unavailable|no_price|low_rating|few_reviews|no_size|material_unclear|blur_image|no_bullets,eva,semi,yes_somewhat,better_function,5,4
C,"It has the highest rating of the bunch at 4.6 stars with a solid 974 reviews, and at $7.09 the price is easy on a fixed retirement budget. It has the weighted magnets I need so it stays put against the tub, and the EVA material is odor-free and waterproof, which is what I care about most.",price_too_high|look|transparency,look|brand|few_reviews,already_chosen,few_reviews|material|pack,look|availability|rating,availability|few_reviews,page2,page1,rating,magnet,5,4,5,2,5,4,5,4,unavailable|no_price|low_rating|few_reviews|no_size|material_unclear|blur_image|no_bullets,eva,semi,yes_somewhat,better_function,5,5
B,"I want a good value liner with real evidence behind it, and B is the best balance: 4.4 stars across 1,872 reviews, EVA material (healthier than PEVA/PVC), magnets at the hem to keep it against the tub, and 12 metal grommets — all at $7.19. The gradient blue 3D cube texture looks nice without being too busy, and it's in stock so I can actually buy it.",price_too_high|transparency,already_chosen,brand|look,few_reviews|look,look|availability,few_reviews,page2,page1,reviews,price_value,4,4,4,2,5,4,5,5,unavailable|no_price|low_rating|no_size|material_unclear|blur_image,eva,semi,yes_somewhat,better_rating,5,5
C,"I want a cheap, decent-looking liner with strong evidence behind it, and C has the best rating (4.6) with a solid review count (974) at the lowest price. The blue water-wave gradient looks nice in a bright bathroom and the magnets plus tear-proof header cover what I actually need. B is close, but C's higher rating wins it.",price_too_high|availability,rating,already_chosen,few_reviews|pack,look|transparency,availability|few_reviews,page2,page1,rating,price_value,4,4,4,2,4,5,5,4,unavailable|no_price|few_reviews|no_size|material_unclear|blur_image,eva,semi,yes_somewhat,better_rating,5,4
A,"I want a liner that stays put and won't smell like plastic, and Option A is the only one with a real track record — 4.5 stars across 4,000+ reviews, BPA-free odor-free EVA, weighted bottom AND a reinforced header. At $18.99 it's more than the others, but a liner I replace once a year or two is worth paying a bit more for peace of mind.",already_chosen,price_suspicious|brand|look,price_suspicious|brand|few_reviews,few_reviews|material|pack,look|transparency|few_reviews|availability,availability|few_reviews|size,page2,page1,reviews,material,4,4,4,2,4,5,5,5,unavailable|no_price|low_rating|few_reviews|no_size|material_unclear|blur_image,eva,semi,yes_somewhat,better_value,4,4
C,"I want an inexpensive liner that actually looks decent and has solid evidence behind it. Option C has the highest rating (4.6) with a good review count, is only $7.09, and has the magnets and weighted hem I want, so it's the best value without feeling like a gamble.",price_too_high|look,already_chosen,already_chosen,few_reviews|material,look|availability,availability|few_reviews|price_suspicious,page2,page1,rating,price_value,3,4,4,2,4,4,5,4,unavailable|no_price|low_rating|few_reviews|no_size|material_unclear|blur_image,eva,semi,yes_somewhat,better_rating,5,4
