trial,persona_path,reward,choice,choice_label,price,price_threshold,feature_priority,purchase_likelihood,age_bracket,economic_motivation,region,socioeconomic_band,gender_identity,life_stage,income,employment,rationale
survey_water-bottle-choice__24JAMQE,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-909df7f9e641.yaml,1.0,fuguang_316,富光 316 保温杯,39.9,3,insulation,3,25-34,Value-driven,South Asia,Middle,Man,Early career,<$25k,Part-time,"আমার বাজেট খুব সীমিত, তাই ¥39.9 দামের ফুগুয়াং বোতলটাই আমার জন্য সবচেয়ে বাস্তবসম্মত। ৫০০ মিলি ধারণক্ষমতা আর ভ্যাকুয়াম ইনসুলেশন দৈনিক ব্যবহারের জন্য যথেষ্ট, আর সিল ভালো থাকায় ব্যাগে নিয়ে ঘোরাঘুরি করতে সমস্যা হবে না।"
survey_water-bottle-choice__2Aruk6z,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-648a23bae967.yaml,1.0,fuguang_316,富光 316 保温杯,39.9,5,price,4,18-24,Cost-sensitive,Sub-Saharan Africa,Low income,Woman,Student,<$25k,Student,"I'm a student on a tight budget, so the ¥39.9 price is what I can actually afford right now. It's insulated stainless steel with a reliable seal, which covers my basic daily need without overspending. The expensive viral options like Stanley are way out of reach for me."
survey_water-bottle-choice__2AsmSwA,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-d1664083c68d.yaml,1.0,fuguang_316,富光 316 保温杯,39.9,5,price,4,35-44,Cost-sensitive,South Asia,Middle,Man,Mid-life,<$25k,Gig / freelance,"मेरा बजट तंग है और मैं हर रुपये का हिसाब रखता हूँ, इसलिए ¥39.9 की कीमत मेरे लिए सबसे बड़ी बात है। यह 316 स्टेनलेस स्टील है, वैक्यूम इंसुलेटेड है और सील भी भरोसेमंद बताई गई है — रोज़ पानी ले जाने के लिए इतना काफी है। महंगे ब्रांड मुझे सिर्फ़ नाम की कीमत लगते हैं, इसलिए बेसिक सस्ता बोतल ही लूँगा।"
survey_water-bottle-choice__2BvvxFL,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_wiki-0cf9c8a437f0.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,insulation,4,75-84,Indifferent,Caucasus,Upper-middle,Man,Retirement,null,Self-employed,"I want a genuinely insulated bottle for daily tea and cold water, and the Beijixiong offers a 316/316L liner and strong vacuum insulation at a fair mid-tier price. The 600 ml size suits my routine without being bulky, and the brand-neutral, functional design appeals to me more than viral lifestyle marketing."
survey_water-bottle-choice__2ByJQ5t,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-fe0cae788541.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,insulation,4,18-24,Indifferent,Sub-Saharan Africa,Middle,Man,Parent of young kids,<$25k,Student,"I need something insulated to keep my tea hot through long study days, and 316/316L stainless steel at ¥129 hits the sweet spot between the cheap basic bottle and the pricey Japanese one. The 600 ml size is right for my daily commute, and I trust the value tier more than paying extra just for a brand name."
survey_water-bottle-choice__2CZ9ANm,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-10b33d2a40bc.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,insulation,4,18-24,Value-driven,South Asia,Lower-middle,Woman,Student,$25k-50k,Student,"The Beijixiong 316 sits at the sweet spot: real 316/316L steel and triple heat blocking for ¥129, which is far cheaper than the Mijia or Zojirushi for basically the same insulation job. I want a daily bottle that keeps water hot through long days, and I'd rather not pay ¥100 extra just for a name. The 600 ml size is also right for carrying around without being bulky."
survey_water-bottle-choice__2DKoBkm,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-bd1d9c33df90.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,insulation,4,45-54,Cost-sensitive,East Asia,Lower-middle,Woman,Career change,$100k-200k,Full-time,我每天要带水上班，保温性能是最要紧的，316/316L内胆和三重隔热在这个价位段里最扎实。129元的中档价格我能接受，比39.9元的基础款更耐用，又不像Zojirushi和Stanley那样贵得没必要。600ml容量刚好够我一天的饮水量，也放得进包侧袋。
survey_water-bottle-choice__2NNd7V8,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-7e762809a074.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,insulation,4,55-64,Value-driven,Latin America,Middle,Man,Mid-life,<$25k,Full-time,"Busco algo práctico y duradero para el día a día, y el acero 316 con triple aislamiento me da buena confianza sin pagar de más. Los 600 ml me alcanzan bien y el precio de ¥129 me parece justo por lo que ofrece. La botella viral de Stanley es demasiado grande y cara para lo que necesito, y las de plástico no mantienen la temperatura."
survey_water-bottle-choice__2P8AHg8,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-952a9f0cc418.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,price,4,55-64,Cost-sensitive,Sub-Saharan Africa,Lower-middle,Woman,Career change,<$25k,Full-time,"Je cherche une gourde isolante fiable pour tous les jours, et la Beijixiong offre le meilleur rapport qualité-prix du rayon : 316/316L, triple isolation thermique et 600 ml pour ¥129, sans payer la prime des marques premium. La Fuguang est moins chère mais plus petite, et la Stanley est trop grande et trop chère pour mon usage quotidien."
survey_water-bottle-choice__2PW64Z6,persona/datasets/matraix-persona-1m/cohorts/cohort-b9851ff4d44d/persona_synthetic-53e6311c6ec2.yaml,1.0,beijixiong_316,杯具熊 316 保温杯,129.0,4,insulation,4,55-64,Cost-sensitive,Sub-Saharan Africa,Upper-middle,Woman,Empty nester,$50k-100k,Self-employed,"Prefiro garrafa térmica de aço inoxidável 316, pois bebo chá ao longo do dia e quero manter a temperatura. O preço de ¥129 é razoável para a melhor opção da faixa de ¥100, e o tamanho de 600 ml serve bem para uso diário. Não preciso de algo tão caro quanto o Zojirushi ou o Stanley."
