id,asin,brand_anonymized,brand_original,price_usd,product_type,brush_head_material,pack_count,refill,color,handle,holder,key_features,size_note,rating,review_count,rating_credibility,image_description
P01,B00R55CIRQ,P01,Clorox,8.99,单刷套装,尼龙刷毛（抗菌，含边缘下方专用刷头）,1,,白色（深灰部件）,加长防滑手柄,角落收纳杯状底座（敞口）,角落收纳省空间；可清洁马桶边缘下方；抗菌刷毛；防滑手柄,约16×5×5in,4.6,5865,高,白色主体配深灰防滑握区与底座边缘；圆形鬃毛刷头；修长刷柄；敞口杯状底座；纯白背景，无营销吊牌。
P02,B0FMRH81TB,P02,FORASTO,14.99,刷+搋2合1套装,白色尼龙刷头+黑色橡胶搋头,1,,浅灰,加长手柄,一体式立式收纳底座,二合一节省空间；公寓/小浴室适用,立式套装（约1.57磅）,4.3,7628,高,浅灰立式收纳底座插黑色橡胶搋头与白色刷杆；侧印品牌；挂蓝白吊牌（NEW/2IN1/STRONG POWER 营销文案已剥离）。
P03,B07XGKZ2RC,P03,MR.SIGA,23.99,刷+搋2合1套装,黑色橡胶搋头+清洁刷,1,,黑色哑光,加长手柄,黑色一体式收纳底座,重型搋子；二合一；哑光黑外观,约6.3×8.3×18.1in,4.4,78059,高,黑色哑光质感，搋子与细长清洁刷收纳于同一黑色底座支架；底座侧面有品牌标签；纯白背景。
P04,B08TM8F2WH,P04,MR.SIGA,19.99,单刷套装,灰白相间尼龙刷毛,1,,黑色（蓝色装饰）,坚固长柄,圆柱形刷座（支撑卡扣）,坚固长柄；圆柱底座稳固,约5.1×5.1×17.1in,4.5,18880,高,黑色带蓝色装饰的圆柱刷座与长柄刷；刷柄斜靠在刷座支撑卡扣上；灰白相间刷毛；白底。
P05,B09TL4MLZ3,P05,oshang,9.99,一次性刷系统,一次性海绵刷头（蓝条纹）,1,14,白/灰/蓝,标准手柄（灰色握区）,白色收纳底座（带盖插槽）,一次性可抛刷头；卫生免清洗；深层清洁；含14替换头,约3.4×3.4×16in,4.5,4881,中,白杆灰握柄、蓝条纹海绵刷头；中间白色带灰盖收纳底座；右侧两摞替换刷头；白底。
P06,B0B8C3D68Y,P06,HAMITOR,12.73,单刷套装,黑色刷毛（S形死角刷毛）,1,,灰色,长柄,浅灰镂空收纳底座,死角S形刷毛；镂空底座通风；防溅,约16.5×4.5×15in,4.6,2620,中,浅灰镂空收纳底座内置深灰长柄刷；刷头为黑色刷毛结构；简约设计；纯白背景。
P07,B003M8GMRW,P07,OXO,19.9,单刷套装（紧凑型）,蓝色尼龙刷毛,1,,白色,Good Grips 防滑手柄,自动开盖罐式底座,自动开关盖；紧凑收纳；防滑手柄,约4.3×4×17in,4.7,18325,高,白色立式底座配蓝色刷毛刷头；整体简约；纯白背景，无多余装饰。
P08,B099DYL32J,P08,FAZMoss,8.99,浮石清洁棒（非传统刷）,浮石材质,2,,灰色,超长手柄,无（独立长柄浮石棒）,去除硬水渍/水垢；不伤瓷面；超长手柄,约1.8×3.7×14.2in,4.6,6171,高,两支带长柄的浮石清洁刷；旁立蓝白包装纸盒（盒面功能文案 REMOVES HARD WATER STAINS / PUMICE POWER 已剥离）；白底网格纹。
P09,B0DYJKB7GB,P09,Holaloha,8.99,单刷套装,蓬松球状尼龙刷毛,2,,白色（灰防滑握柄）,防滑握柄,镂空收纳底座,省空间；密毛360°清洁；2件装,约4.1×3.3×15.7in,4.2,1436,中,两套白色刷（灰色防滑握柄）；左刷头蓬松球状，右刷收纳于镂空底座；蓝红吊牌（NEW 2 PACK 已剥离）。
P10,B0D8J1KF6X,P10,Holaloha,12.99,单刷套装,尼龙刷毛,3,3,白色（灰手柄）,标准手柄,镂空收纳底座,省空间；3件装+3替换刷头,约3.4×4.2×15.7in,4.5,2204,中,三套带底座的白色马桶刷（灰手柄）配三个替换刷头；蓝红吊牌（NEW 3 PACK WITH 3 REPLACEMENT 已剥离）。
