arm,persona_id,choice,rationale,reward,chosen_price,chosen_brand,chosen_rating,chosen_reviews,gt_rank,gt_monthly_sales,gt_monthly_revenue,q_factor_most,q_factor_second,q_material_pref,q_format_pref,q_pack_pref,q_badge_effect,q_switch_trigger,q_price_acceptance,q_purchase_intent,q_importance_price,q_importance_function,q_importance_appearance,q_importance_hygiene,q_importance_reviews,q_importance_brand,q_refill_acceptance
anon-rating,persona_amazon-64b32722c02a,P07,"I want a single compact brush that hides the head so my small bathroom stays tidy, and the automatic canister door plus non-slip handle solves the drip and mess problem. At $19.90 with a 4.7★ rating from over 18,000 reviews, it feels like a safe, well-proven buy rather than a gamble.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,holder,reviews,nylon_bristles,single_brush_set,single,neutral,better_rating,4,4,4,4,3,4,5,2,2
anon-rating,persona_amazon-edbd6b64a36d,P05,"I have reduced dexterity and a managed chronic condition, so a disposable-head system keeps my hands clean and avoids scrubbing and rinsing a dirty brush. At $9.99 with 14 refills included and a solid 4.5★ from nearly 5,000 reviews, it's hygienic, affordable, and low-effort — which matters most for my daily routine.",1.0,9.99,oshang,4.5,4881,5,18600.0,185814.0,hygiene,price_value,disposable_sponge,disposable_system,single,neutral,better_value,4,4,5,4,2,5,4,1,4
anon-rating,persona_amazon-f6a20f08870f,P07,"I want a hygienic, compact set that looks clean in a small bathroom, and the automatic canister door keeps the brush hidden and tidy. With 18,325 reviews at 4.7 stars, it feels like a reliable, well-proven choice at a reasonable price.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,yes_somewhat,better_function,4,4,4,4,4,5,5,3,3
anon-rating,persona_amazon-b97f6061a965,P01,"It's cheap at $8.99 but still has the two things I actually care about: a dedicated under-rim scrubber head and an open corner caddy that saves floor space and dries out. The 5,865 reviews at 4.6 stars are enough for me to trust it's not junk, and the non-slip grip is a nice touch for a daily-use item.",1.0,8.99,Clorox,4.6,5865,1,40482.0,369195.84,cleaning,holder,nylon_bristles,single_brush_set,single,unlikely,better_function,5,4,4,5,3,4,4,2,2
anon-rating,persona_amazon-fc8d05b43ed8,P07,"I want a clean, compact white set that hides the brush and dries well, and the automatic canister door plus non-slip handle is exactly the tidy, low-maintenance design I prefer. Its 4.7-star rating with over 18,000 reviews gives me confidence it will hold up in a guest bathroom.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,holder,nylon_bristles,single_brush_set,single,yes_somewhat,nothing,4,4,4,4,4,5,4,3,3
anon-rating,persona_amazon-d2055e41f16c,P07,"I want a simple, tidy set for my main bathroom and the compact canister with the self-opening door keeps the brush out of sight while letting it dry. The 4.7-star rating across 18,000+ reviews gives me confidence it holds up, and at under $20 it's a fair price for something I'll use every week.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,yes_somewhat,better_function,4,4,4,4,4,5,4,2,3
anon-rating,persona_amazon-5b31ec71d844,P01,"It's a good price and the corner caddy saves space in my small bathroom. The under-rim scrubber and antibacterial bristles are a nice touch, and with almost 6,000 reviews at 4.6 stars I feel confident it'll hold up.",1.0,8.99,Clorox,4.6,5865,1,40482.0,369195.84,cleaning,price_value,nylon_bristles,single_brush_set,single,yes_somewhat,better_function,5,4,4,5,3,4,4,2,2
anon-rating,persona_amazon-085905f79caa,P01,"I want a simple, affordable single brush set with strong hygiene credentials, and the corner caddy saves space in a small bathroom. The dedicated under-rim scrubber and antibacterial nylon bristles address my main cleaning concern, and the 4.6★ rating from 5,865 reviewers gives me confidence it's reliable.",1.0,8.99,Clorox,4.6,5865,1,40482.0,369195.84,cleaning,hygiene,nylon_bristles,single_brush_set,single,neutral,better_function,5,4,4,5,3,5,4,2,2
anon-rating,persona_amazon-55147b4f88de,P07,"I want something simple and tidy that hides the brush away — the automatic canister door means I don't have to touch a lid with wet hands. The 4.7 stars across 18,000+ reviews gives me confidence it actually works, and the price is reasonable for a set that'll last.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,neutral,nothing,4,4,4,4,3,5,4,2,2
anon-rating,persona_amazon-238c442cb8ce,P07,"I want a single, tidy white set that hides the brush away and dries without looking messy. The self-closing canister door keeps things clean and out of sight, it's compact for my bathroom, and the 4.7★ rating across 18,000+ reviews makes it the most trustworthy option at a reasonable price.",1.0,19.9,OXO,4.7,18325,7,14249.0,285870.34,hygiene,reviews,nylon_bristles,single_brush_set,single,neutral,nothing,4,4,4,4,4,5,4,2,2
